title,date,quote_text,status,url
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","O que nos separa da vitória são oito ou nove pontos para afastar esse fantasma. — Fernando Haddad, em seu ",IMPRECISO,https://aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","Só 8% dos homicídios levam alguém pra cadeia. — Fernando Haddad, em entrevista ao ",IMPRECISO,https://aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","O Estado do Rio de Janeiro é o Estado que mais hospitais [universitários] federais tem. — Fernando Haddad, em ",IMPRECISO,https://aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
O que é fato nas declarações de Haddad na última semana,"22 de outubro de 2018, 22h35","Criamos 20 milhões de empregos em 12 anos. — Fernando Haddad, em uma entrevista ao ",IMPRECISO,https://aosfatos.org/noticias/o-que-e-fato-nas-declaracoes-de-fernando-haddad-na-ultima-semana/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","O Aloizio Mercadante, ministro da Educação, mobilizou estados e municípios para que fosse incluído no plano estadual ou no plano municipal a ideologia de gênero. — Jair Bolsonaro (PSL), em ",FALSO,https://aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","Há um complô espalhando fake news descaradas e descontextualizadas [a respeito de declaração sobre salário feminino] contra mim. — Jair Bolsonaro (PSL), no ",FALSO,https://aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","Quando essa proposta chegou, eu estava no Piauí, a proposta do Temer que era a do Meirelles também. Rapidamente, eu vi a expectativa de vida no atlas que eu tenho do IBGE, 69 anos. Então é justo para quem mora no Piauí partir na aposentadoria na beira da morte? — Jair Bolsonaro (PSL) em ",FALSO,https://aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","A agricultura familiar é responsável por cerca de 70% da produção do que é consumido no Brasil além de garantir a própria alimentação e renda da família. — Jair Bolsonaro (PSL), no ",FALSO,https://aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
Fato e ficção nas declarações de Bolsonaro na última semana de campanha,"27 de outubro de 2018, 02h10","Somente em 2017, mais de 800 milhões de toneladas de cargas foram movimentadas nos 37 portos brasileiros. — Jair Bolsonaro (PSL), no ",FALSO,https://aosfatos.org/noticias/fato-e-ficcao-nas-declaracoes-de-bolsonaro-na-ultima-semana-de-campanha/
"Mourão diz que legalizar droga não reduz crime, mas dados são inconclusivos","14 de novembro de 2018, 16h38",Onde foram liberadas [as drogas] os problemas continuam acontecendo.,INSUSTENTÁVEL,https://aosfatos.org/noticias/mourao-diz-que-legalizar-droga-nao-reduz-crime-mas-dados-sao-inconclusivos/
"Mourão diz que legalizar droga não reduz crime, mas dados são inconclusivos","14 de novembro de 2018, 16h38","Desde o presidente Castelo Branco, (...) ele afastou os militares que entraram na política dos quartéis. Antes disso, os militares participavam da política e, se perdesse o cargo, ele voltava para os quartéis.",INSUSTENTÁVEL,https://aosfatos.org/noticias/mourao-diz-que-legalizar-droga-nao-reduz-crime-mas-dados-sao-inconclusivos/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","[Só neste ano] ultrapassam 1,5 milhão de postos de trabalho [criados].",EXAGERADO,https://aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","Só neste ano, já chegou a quase 800 mil carteiras assinadas.",EXAGERADO,https://aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Os erros e acertos de Michel Temer no G-20,"30 de novembro de 2018, 20h26","Portanto, uma recuperação da economia e recuperação do trabalho, em função da modernização trabalhista.",EXAGERADO,https://aosfatos.org/noticias/os-erros-e-acertos-de-michel-temer-no-g-20/
Checamos o que Flávio Bolsonaro disse sobre segurança pública em entrevista à GloboNews,"6 de dezembro de 2018, 14h39","Hoje muitas condenações de crimes, que são crimes violentos, por terem uma pena mínima muito baixa, acabam sendo transformados em punições de prestações de serviços, por exemplo.",INSUSTENTÁVEL,https://aosfatos.org/noticias/checamos-o-que-flavio-bolsonaro-disse-sobre-seguranca-publica-em-entrevista-globonews/
Checamos o que Flávio Bolsonaro disse sobre segurança pública em entrevista à GloboNews,"6 de dezembro de 2018, 14h39",Qualquer lugar do mundo onde a segurança pública deu certo começou se combatendo a impunidade nos crimes de menor potencial ofensivo.,INSUSTENTÁVEL,https://aosfatos.org/noticias/checamos-o-que-flavio-bolsonaro-disse-sobre-seguranca-publica-em-entrevista-globonews/
Checamos o que Flávio Bolsonaro disse sobre segurança pública em entrevista à GloboNews,"6 de dezembro de 2018, 14h39","A própria população, quando perguntada sobre a credibilidade das instituições, as Forças Armadas estão sempre no topo.",INSUSTENTÁVEL,https://aosfatos.org/noticias/checamos-o-que-flavio-bolsonaro-disse-sobre-seguranca-publica-em-entrevista-globonews/
"Na TV, Flávio Bolsonaro alega perseguição com informações falsas","21 de janeiro de 2019, 20h05","Ninguém dá atenção para os outros casos de parlamentares com assessores que movimentaram R$ 49 milhões. — Flávio Bolsonaro (PSL-RJ), em ",FALSO,https://aosfatos.org/noticias/na-tv-flavio-bolsonaro-alega-perseguicao-com-informacoes-falsas/
"Na TV, Flávio Bolsonaro alega perseguição com informações falsas","21 de janeiro de 2019, 20h05","Esse imóvel foi vendido. O meu patrimônio agora é um apartamento na Barra e uma sala comercial. — Flávio Bolsonaro (PSL-RJ), em ",FALSO,https://aosfatos.org/noticias/na-tv-flavio-bolsonaro-alega-perseguicao-com-informacoes-falsas/
"Na TV, Flávio Bolsonaro alega perseguição com informações falsas","21 de janeiro de 2019, 20h05","Não pedi foro privilegiado no STF. — Flávio Bolsonaro (PSL-RJ), em ",FALSO,https://aosfatos.org/noticias/na-tv-flavio-bolsonaro-alega-perseguicao-com-informacoes-falsas/
"Na TV, Flávio Bolsonaro alega perseguição com informações falsas","21 de janeiro de 2019, 20h05","Em alguns períodos, no meu gabinete, cargos ficaram vagos. — Flávio Bolsonaro (PSL-RJ), em ",FALSO,https://aosfatos.org/noticias/na-tv-flavio-bolsonaro-alega-perseguicao-com-informacoes-falsas/
"Divulgado pelo Planalto, vídeo sobre golpe de 1964 traz série de distorções históricas","1 de abril de 2019, 20h40",Era sim um tempo de medo e ameaças. Ameaça daquilo que os comunistas faziam onde era imposto sem exceção: prendiam e matavam seus próprios compatriotas.,FALSO,https://aosfatos.org/noticias/divulgado-pelo-planalto-video-sobre-golpe-traz-serie-de-distorcoes-historicas/
"Divulgado pelo Planalto, vídeo sobre golpe de 1964 traz série de distorções históricas","1 de abril de 2019, 20h40","Foi aí que conclamado (...) principalmente, pelo povo na rua, povo de verdade, pais, mães, igreja, que o Brasil lembrou que possuía um Exército Nacional e apelou a ele.",FALSO,https://aosfatos.org/noticias/divulgado-pelo-planalto-video-sobre-golpe-traz-serie-de-distorcoes-historicas/
"Divulgado pelo Planalto, vídeo sobre golpe de 1964 traz série de distorções históricas","1 de abril de 2019, 20h40","Foi aí que conclamado por jornais, rádios, TVs (...) que o Brasil lembrou que possuía um Exército Nacional e apelou a ele.",FALSO,https://aosfatos.org/noticias/divulgado-pelo-planalto-video-sobre-golpe-traz-serie-de-distorcoes-historicas/
"Divulgado pelo Planalto, vídeo sobre golpe de 1964 traz série de distorções históricas","1 de abril de 2019, 20h40","Havia, sim, (...) greve nas fábricas.",FALSO,https://aosfatos.org/noticias/divulgado-pelo-planalto-video-sobre-golpe-traz-serie-de-distorcoes-historicas/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","“Segundo a Veja, está publicado aqui, quem vazou esse processo para a Globo foi o seu governador [do RJ, Wilson] Witzel”",FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05",Teve aquele caso que alguém tentou entrar com o nome dele [Adélio] na Câmara. O álibi perfeito.,FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","Rede Globo, vocês tiveram acesso a um processo que segue em segredo de Justiça. Vocês têm que ser investigados no tocante a isso.",FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05",O Adélio tá condenado a viver a vida toda num manicômio judicial.,FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","Vocês [TV Globo] vão renovar a concessão em 2022. Não vou persegui-los. Mas o processo vai estar limpo. Se não estiver limpo, legal, não tem renovação de vocês e de TV nenhuma.",FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","Eu tenho registrado no painel eletrônico da Câmara presença às 17h41. Ou seja, 31 minutos depois da entrada desse cidadão. E tenho também 19h36.",FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
"Em transmissão ao vivo, Bolsonaro distorce informações ao atacar Witzel e Globo","30 de outubro de 2019, 18h05","E tenho também registrado no dia anterior, e no dia posterior, as minhas digitais nos painéis de votação.",FALSO,https://aosfatos.org/noticias/em-transmissao-ao-vivo-bolsonaro-distorce-informacoes-ao-atacar-witzel-e-globo/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","O óleo já foi recolhido. Hoje eu acredito que não tenha mais nenhuma praia suja no Nordeste. — Vice-presidente Hamilton Mourão, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","Cerca de 90% do litoral nordestino sequer foi atingido [pelas manchas de óleo]. — Ministro do Turismo, Marcelo Álvaro Antônio, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","""Não, porque a toxicidade é insignificante, é mínima. Na composição, o que seria [mais tóxico] é o benzeno, mas é mínimo""(...) - ministro da saúde, Luiz Henrique Mandetta, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
Integrantes do governo recorrem a informações falsas para minimizar desastre no Nordeste,"29 de outubro de 2019, 15h07","Não bastasse não ajudar na limpeza do petróleo venezuelano nas praias do Nordeste, os ecoterroristas [Greenpeace] ainda depredam patrimônio público. - ministro do Meio Ambiente, Ricardo Salles, em ",FALSO,https://aosfatos.org/noticias/integrantes-do-governo-recorrem-informacoes-falsas-para-minimizar-desastre-no-nordeste/
